"ID_Number";"Staff_Group";"Role";"Last_access";"Course_Title";"Enrolment_Date";"Completed";"Completion_Date"
78441;"Additional Clinical Services";"Health Care Support Worker";"2026-03-11";"Anaphylaxis v4.0";"2025-03-13";"No";""
81450;"Additional Clinical Services";"Healthcare Assistant";"2026-03-16";"Anaphylaxis v4.0";"2026-01-13";"No";""
95333;"Additional Clinical Services";"Health Care Support Worker";"2026-04-15";"Anaphylaxis v4.0";"2025-12-10";"Yes";"2025-12-10"
93038;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-07";"Anaphylaxis v4.0";"2025-05-23";"Yes";"2025-05-23"
80380;"Additional Clinical Services";"Nursing Associate";"2026-04-14";"Anaphylaxis v4.0";"2025-08-26";"Yes";"2025-08-27"
84669;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-10";"Anaphylaxis v4.0";"2025-04-11";"Yes";"2025-04-14"
84669;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-10";"Anaphylaxis v4.0";"2025-03-13";"Yes";"2025-04-14"
15570;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-02-15";"Anaphylaxis v4.0";"2025-10-07";"Yes";"2025-10-07"
83223;"Additional Clinical Services";"Healthcare Assistant";"2026-04-13";"Anaphylaxis v4.0";"2025-07-01";"Yes";"2025-10-30"
28294;"Additional Clinical Services";"Nursing Associate";"2025-11-14";"Anaphylaxis v4.0";"2025-04-30";"Yes";"2025-04-30"
91815;"Additional Clinical Services";"Healthcare Assistant";"2026-03-26";"Anaphylaxis v4.0";"2026-01-13";"No";""
86166;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-03-02";"Anaphylaxis v4.0";"2026-02-15";"Yes";"2026-02-17"
54095;"Add Prof Scientific and Technic";"Technician";"2026-01-29";"Anaphylaxis v4.0";"2025-05-23";"Yes";"2025-05-23"
84671;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-09";"Anaphylaxis v4.0";"2025-11-24";"No";""
89053;"Additional Clinical Services";"Assistant";"2025-10-13";"Anaphylaxis v4.0";"2025-07-29";"Yes";"2025-07-30"
54100;"Add Prof Scientific and Technic";"Technician";"2026-04-13";"Anaphylaxis v4.0";"2025-03-13";"Yes";"2025-03-13"
63372;"Additional Clinical Services";"Health Care Support Worker";"2026-04-16";"Anaphylaxis v4.0";"2026-03-30";"Yes";"2026-03-30"
65152;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-13";"Anaphylaxis v4.0";"2025-10-15";"Yes";"2025-10-17"
54114;"Allied Health Professionals";"Radiographer - Diagnostic";"2025-11-28";"Anaphylaxis v4.0";"2025-11-25";"Yes";"2025-11-25"
62212;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-20";"Anaphylaxis v4.0";"2026-02-17";"Yes";"2026-02-17"
73012;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-22";"Anaphylaxis v4.0";"2025-11-11";"Yes";"2025-11-11"
80283;"Additional Clinical Services";"Healthcare Assistant";"2025-10-02";"Anaphylaxis v4.0";"2025-09-15";"Yes";"2025-09-15"
84804;"Nursing and Midwifery Registered";"Staff Nurse";"2025-09-12";"Anaphylaxis v4.0";"2025-08-19";"Yes";"2025-08-19"
91658;"Nursing and Midwifery Registered";"Midwife";"2026-03-23";"Anaphylaxis v4.0";"2025-11-17";"No";""
70164;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-15";"Anaphylaxis v4.0";"2025-09-17";"No";""
83801;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-09";"Anaphylaxis v4.0";"2026-01-15";"Yes";"2026-01-19"
83802;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-15";"Anaphylaxis v4.0";"2025-09-30";"Yes";"2025-09-30"
84548;"Additional Clinical Services";"Health Care Support Worker";"2026-03-26";"Anaphylaxis v4.0";"2025-12-03";"Yes";"2025-12-03"
94971;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-10";"Anaphylaxis v4.0";"2025-11-18";"Yes";"2025-11-18"
95544;"Additional Clinical Services";"Health Care Support Worker";"2026-04-05";"Anaphylaxis v4.0";"2026-01-12";"Yes";"2026-01-12"
