"ID_Number";"Staff_Group";"Role";"Last_access";"Course_Title";"Enrolment_Date";"Completed";"Completion_Date"
80379;"Additional Clinical Services";"Healthcare Assistant";"2024-09-24";"BadgerNet - Antenatal Clinic";"2023-11-06";"No";""
125;"Nursing and Midwifery Registered";"Midwife";"2024-07-08";"BadgerNet - Antenatal Clinic";"2023-07-10";"Yes";"2023-09-16"
95387;"Medical and Dental";"Specialty Registrar";"2026-04-06";"BadgerNet - Antenatal Clinic";"2025-12-10";"No";""
91658;"Nursing and Midwifery Registered";"Midwife";"2026-03-23";"BadgerNet - Antenatal Clinic";"2025-02-03";"Yes";"2025-08-11"
96250;"Nursing and Midwifery Registered";"Midwife";"2026-02-26";"BadgerNet - Antenatal Clinic";"2026-02-19";"Yes";"2026-02-24"
91659;"Nursing and Midwifery Registered";"Midwife";"2026-03-20";"BadgerNet - Antenatal Clinic";"2025-02-03";"Yes";"2025-02-06"
95390;"Medical and Dental";"Specialty Registrar";"2026-04-12";"BadgerNet - Antenatal Clinic";"2026-04-11";"No";""
92780;"Medical and Dental";"Specialty Registrar";"2025-10-28";"BadgerNet - Antenatal Clinic";"2025-10-28";"No";""
77915;"Medical and Dental";"Trust Grade Doctor or Dentist - Specialty Registrar";"2024-04-02";"BadgerNet - Antenatal Clinic";"2024-04-02";"No";""
90961;"Additional Clinical Services";"Healthcare Assistant";"2026-04-03";"BadgerNet - Antenatal Clinic";"2026-02-13";"Yes";"2026-02-19"
86596;"Additional Clinical Services";"Healthcare Assistant";"2026-04-11";"BadgerNet - Antenatal Clinic";"2026-03-26";"Yes";"2026-04-05"
83635;"Nursing and Midwifery Registered";"Midwife";"2024-04-15";"BadgerNet - Antenatal Clinic";"2024-02-27";"Yes";"2024-03-09"
88635;"Medical and Dental";"Foundation Year 2";"2026-03-30";"BadgerNet - Antenatal Clinic";"2026-01-30";"Yes";"2026-02-02"
57355;"Nursing and Midwifery Registered";"Staff Nurse";"2025-10-22";"BadgerNet - Antenatal Clinic";"2022-07-04";"No";""
89147;"Nursing and Midwifery Registered";"Midwife";"2026-01-21";"BadgerNet - Antenatal Clinic";"2025-09-24";"No";""
92610;"Additional Clinical Services";"Healthcare Assistant";"2026-03-26";"BadgerNet - Antenatal Clinic";"2025-11-24";"Yes";"2025-11-24"
26991;"Nursing and Midwifery Registered";"Midwife";"2025-11-05";"BadgerNet - Antenatal Clinic";"2025-08-30";"No";""
155;"Nursing and Midwifery Registered";"Midwife";"2026-04-11";"BadgerNet - Antenatal Clinic";"2025-04-10";"No";""
67173;"Estates and Ancillary";"Support Worker";"2026-01-16";"BadgerNet - Antenatal Clinic";"2026-01-06";"Yes";"2026-01-16"
183;"Nursing and Midwifery Registered";"Midwife";"2026-02-26";"BadgerNet - Antenatal Clinic";"2023-01-12";"No";""
82632;"Nursing and Midwifery Registered";"Midwife";"2026-04-05";"BadgerNet - Antenatal Clinic";"2023-12-01";"No";""
94601;"Add Prof Scientific and Technic";"Pharmacist";"2026-03-31";"BadgerNet - Antenatal Clinic";"2025-11-05";"No";""
25157;"Nursing and Midwifery Registered";"Midwife";"2025-07-10";"BadgerNet - Antenatal Clinic";"2025-01-28";"Yes";"2025-05-24"
22626;"Administrative and Clerical";"Clerical Worker";"2026-02-25";"BadgerNet - Antenatal Clinic";"2022-08-09";"Yes";"2022-08-09"
12140;"Nursing and Midwifery Registered";"Midwife";"2026-04-10";"BadgerNet - Antenatal Clinic";"2025-11-03";"No";""
91375;"Medical and Dental";"Specialty Registrar";"2025-10-31";"BadgerNet - Antenatal Clinic";"2025-10-31";"No";""
72835;"Additional Clinical Services";"Healthcare Assistant";"2025-09-10";"BadgerNet - Antenatal Clinic";"2025-02-24";"Yes";"2025-04-13"
32683;"Administrative and Clerical";"Clerical Worker";"2026-04-13";"BadgerNet - Antenatal Clinic";"2023-02-27";"No";""
95039;"Nursing and Midwifery Registered";"Midwife";"2026-04-09";"BadgerNet - Antenatal Clinic";"2025-10-24";"No";""
257;"Nursing and Midwifery Registered";"Midwife";"2026-03-31";"BadgerNet - Antenatal Clinic";"2023-01-04";"No";""
91738;"Nursing and Midwifery Registered";"Midwife";"2026-03-26";"BadgerNet - Antenatal Clinic";"2025-02-09";"Yes";"2025-07-17"
71858;"Administrative and Clerical";"Officer";"2025-11-10";"BadgerNet - Antenatal Clinic";"2025-09-23";"No";""
274;"Nursing and Midwifery Registered";"Midwife";"2026-04-13";"BadgerNet - Antenatal Clinic";"2022-07-15";"Yes";"2022-07-15"
88661;"Medical and Dental";"Foundation Year 2";"2026-03-24";"BadgerNet - Antenatal Clinic";"2025-12-04";"Yes";"2025-12-04"
96539;"Nursing and Midwifery Registered";"Midwife";"2026-04-13";"BadgerNet - Antenatal Clinic";"2026-03-26";"Yes";"2026-03-29"
58575;"Medical and Dental";"Consultant";"2026-01-15";"BadgerNet - Antenatal Clinic";"2025-05-30";"No";""
76841;"Additional Clinical Services";"Healthcare Assistant";"2026-04-02";"BadgerNet - Antenatal Clinic";"2023-01-20";"Yes";"2023-06-22"
80634;"Additional Clinical Services";"Assistant";"2026-03-05";"BadgerNet - Antenatal Clinic";"2026-02-05";"No";""
82494;"Medical and Dental";"Specialty Registrar";"2025-07-30";"BadgerNet - Antenatal Clinic";"2023-09-13";"No";""
88469;"Medical and Dental";"Specialty Registrar";"2025-12-11";"BadgerNet - Antenatal Clinic";"2025-11-08";"No";""
16273;"Nursing and Midwifery Registered";"Midwife";"2026-04-08";"BadgerNet - Antenatal Clinic";"2023-11-16";"Yes";"2023-11-16"
47373;"Administrative and Clerical";"Manager";"2026-04-14";"BadgerNet - Antenatal Clinic";"2023-08-21";"No";""
96541;"Nursing and Midwifery Registered";"Midwife";"2026-04-13";"BadgerNet - Antenatal Clinic";"2026-03-29";"Yes";"2026-04-13"
86205;"Nursing and Midwifery Registered";"Midwife";"2026-04-07";"BadgerNet - Antenatal Clinic";"2024-02-20";"Yes";"2024-02-21"
29935;"Additional Clinical Services";"Healthcare Assistant";"2026-04-14";"BadgerNet - Antenatal Clinic";"2024-05-09";"No";""
91382;"Additional Clinical Services";"Assistant";"2026-03-09";"BadgerNet - Antenatal Clinic";"2025-01-16";"Yes";"2025-01-17"
3123;"Nursing and Midwifery Registered";"Midwife";"2026-03-27";"BadgerNet - Antenatal Clinic";"2024-09-05";"No";""
414;"Nursing and Midwifery Registered";"Midwife";"2026-03-26";"BadgerNet - Antenatal Clinic";"2021-12-14";"Yes";"2025-07-14"
426;"Nursing and Midwifery Registered";"Midwife";"2026-03-28";"BadgerNet - Antenatal Clinic";"2022-08-07";"Yes";"2022-09-22"
89531;"Administrative and Clerical";"Clerical Worker";"2026-04-11";"BadgerNet - Antenatal Clinic";"2026-03-16";"No";""
82967;"Additional Clinical Services";"Healthcare Assistant";"2025-10-21";"BadgerNet - Antenatal Clinic";"2023-09-12";"Yes";"2023-09-18"
25578;"Additional Clinical Services";"Healthcare Assistant";"2026-04-14";"BadgerNet - Antenatal Clinic";"2026-02-12";"Yes";"2026-02-19"
