"ID_Number";"Staff_Group";"Role";"Last_access";"Course_Title";"Enrolment_Date";"Completed";"Completion_Date"
81450;"Additional Clinical Services";"Healthcare Assistant";"2026-03-16";"Dementia Awareness";"2025-09-17";"No";""
65152;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-13";"Dementia Awareness";"2025-12-18";"Yes";"2025-12-18"
73012;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-22";"Dementia Awareness";"2025-11-11";"Yes";"2025-11-11"
84804;"Nursing and Midwifery Registered";"Staff Nurse";"2025-09-12";"Dementia Awareness";"2025-08-19";"Yes";"2025-08-19"
87398;"Additional Clinical Services";"Healthcare Assistant";"2026-03-27";"Dementia Awareness";"2025-08-29";"Yes";"2025-09-09"
83802;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-15";"Dementia Awareness";"2025-09-23";"Yes";"2025-09-23"
87755;"Additional Clinical Services";"Healthcare Assistant";"2026-03-15";"Dementia Awareness";"2025-08-27";"No";""
18496;"Nursing and Midwifery Registered";"Nurse Manager";"2026-03-04";"Dementia Awareness";"2025-10-31";"Yes";"2025-10-31"
46727;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-09";"Dementia Awareness";"2025-09-25";"Yes";"2025-09-25"
84549;"Nursing and Midwifery Registered";"Sister or Charge Nurse";"2025-11-21";"Dementia Awareness";"2025-11-14";"No";""
80796;"Nursing and Midwifery Registered";"Staff Nurse";"2025-12-10";"Dementia Awareness";"2025-06-17";"No";""
92882;"Administrative and Clerical";"Secretary";"2026-02-02";"Dementia Awareness";"2025-07-04";"Yes";"2025-07-05"
67935;"Medical and Dental";"Specialty Registrar";"2026-02-05";"Dementia Awareness";"2025-12-08";"Yes";"2025-12-08"
46756;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-28";"Dementia Awareness";"2026-01-21";"Yes";"2026-01-21"
65398;"Nursing and Midwifery Registered";"Staff Nurse";"2025-12-19";"Dementia Awareness";"2025-07-23";"Yes";"2025-07-23"
14510;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-04-14";"Dementia Awareness";"2026-01-23";"No";""
92230;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-19";"Dementia Awareness";"2025-09-28";"Yes";"2025-09-28"
95273;"Additional Clinical Services";"Healthcare Assistant";"2026-04-06";"Dementia Awareness";"2026-03-23";"Yes";"2026-03-23"
77456;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-26";"Dementia Awareness";"2025-06-17";"Yes";"2025-06-17"
75798;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-26";"Dementia Awareness";"2025-12-02";"Yes";"2025-12-02"
82487;"Additional Clinical Services";"Assistant";"2025-10-30";"Dementia Awareness";"2025-06-03";"No";""
72841;"Additional Clinical Services";"Nursing Associate";"2026-01-08";"Dementia Awareness";"2025-09-09";"No";""
80383;"Additional Clinical Services";"Health Care Support Worker";"2025-06-29";"Dementia Awareness";"2025-06-05";"No";""
95942;"Additional Clinical Services";"Health Care Support Worker";"2026-02-10";"Dementia Awareness";"2026-01-17";"Yes";"2026-02-04"
77348;"Additional Clinical Services";"Health Care Support Worker";"2026-01-14";"Dementia Awareness";"2026-01-13";"Yes";"2026-01-14"
87646;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-30";"Dementia Awareness";"2025-10-11";"Yes";"2025-10-11"
44981;"Additional Clinical Services";"Health Care Support Worker";"2025-09-03";"Dementia Awareness";"2025-06-03";"Yes";"2025-06-03"
46940;"Allied Health Professionals";"Operating Department Practitioner";"2026-03-03";"Dementia Awareness";"2025-09-23";"Yes";"2025-09-23"
94912;"Additional Clinical Services";"Health Care Support Worker";"2026-04-11";"Dementia Awareness";"2026-03-04";"No";""
86186;"Estates and Ancillary";"Support Worker";"2026-04-04";"Dementia Awareness";"2026-01-06";"Yes";"2026-01-06"
46998;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-25";"Dementia Awareness";"2025-11-18";"No";""
83353;"Additional Clinical Services";"Health Care Support Worker";"2026-01-14";"Dementia Awareness";"2025-12-02";"Yes";"2025-12-02"
90110;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-08";"Dementia Awareness";"2026-04-08";"Yes";"2026-04-08"
80193;"Additional Clinical Services";"Health Care Support Worker";"2026-04-05";"Dementia Awareness";"2026-03-05";"Yes";"2026-03-05"
68325;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-20";"Dementia Awareness";"2025-08-19";"Yes";"2025-08-19"
71199;"Additional Clinical Services";"Healthcare Assistant";"2025-08-11";"Dementia Awareness";"2025-08-11";"Yes";"2025-08-11"
47087;"Administrative and Clerical";"Clerical Worker";"2026-03-10";"Dementia Awareness";"2025-07-29";"Yes";"2025-07-29"
47100;"Additional Clinical Services";"Health Care Support Worker";"2026-02-26";"Dementia Awareness";"2025-10-10";"Yes";"2025-10-10"
30369;"Additional Clinical Services";"Healthcare Assistant";"2026-03-27";"Dementia Awareness";"2025-08-02";"Yes";"2025-08-02"
71200;"Additional Clinical Services";"Health Care Support Worker";"2026-04-06";"Dementia Awareness";"2026-03-07";"Yes";"2026-03-07"
76151;"Additional Clinical Services";"Healthcare Assistant";"2026-03-21";"Dementia Awareness";"2025-07-31";"Yes";"2025-07-31"
47134;"Add Prof Scientific and Technic";"Anaesthesia Associate";"2026-03-26";"Dementia Awareness";"2025-06-09";"Yes";"2025-06-09"
76948;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-12";"Dementia Awareness";"2025-10-16";"Yes";"2025-10-16"
73153;"Additional Clinical Services";"Healthcare Assistant";"2026-03-31";"Dementia Awareness";"2025-06-16";"No";""
92887;"Additional Clinical Services";"Health Care Support Worker";"2026-03-05";"Dementia Awareness";"2025-07-23";"Yes";"2025-07-23"
47296;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-21";"Dementia Awareness";"2025-11-20";"Yes";"2025-11-20"
77236;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-09";"Dementia Awareness";"2025-07-23";"Yes";"2025-07-23"
88751;"Medical and Dental";"Specialty Registrar";"2026-04-07";"Dementia Awareness";"2025-05-29";"Yes";"2025-05-29"
94081;"Additional Clinical Services";"Health Care Support Worker";"2025-09-30";"Dementia Awareness";"2025-09-30";"Yes";"2025-09-30"
80637;"Additional Clinical Services";"Healthcare Assistant";"2026-03-14";"Dementia Awareness";"2026-01-07";"Yes";"2026-02-19"
89149;"Additional Clinical Services";"Healthcare Assistant";"2026-03-20";"Dementia Awareness";"2025-10-28";"Yes";"2025-11-18"
90092;"Medical and Dental";"Foundation Year 1";"2026-04-02";"Dementia Awareness";"2025-10-21";"No";""
90219;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-06";"Dementia Awareness";"2025-09-23";"Yes";"2025-09-23"
25612;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-08";"Dementia Awareness";"2026-04-06";"No";""
78127;"Additional Clinical Services";"Health Care Support Worker";"2026-02-28";"Dementia Awareness";"2026-02-01";"No";""
47459;"Estates and Ancillary";"Support Worker";"2026-03-23";"Dementia Awareness";"2025-06-18";"Yes";"2025-06-26"
47485;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-27";"Dementia Awareness";"2026-02-01";"Yes";"2026-02-01"
397;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-13";"Dementia Awareness";"2025-09-29";"Yes";"2025-10-02"
26301;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-04-14";"Dementia Awareness";"2025-06-03";"Yes";"2025-06-03"
88242;"Additional Clinical Services";"Trainee Practitioner";"2026-04-09";"Dementia Awareness";"2026-04-08";"Yes";"2026-04-08"
84004;"Nursing and Midwifery Registered";"Staff Nurse";"2025-09-11";"Dementia Awareness";"2025-09-11";"No";""
76685;"Additional Clinical Services";"Health Care Support Worker";"2026-03-03";"Dementia Awareness";"2026-03-03";"Yes";"2026-03-03"
54547;"Additional Clinical Services";"Health Care Support Worker";"2026-04-13";"Dementia Awareness";"2025-10-08";"Yes";"2025-10-08"
33379;"Add Prof Scientific and Technic";"Technician";"2026-04-13";"Dementia Awareness";"2025-12-02";"No";""
25130;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-20";"Dementia Awareness";"2025-09-22";"Yes";"2025-09-22"
84818;"Nursing and Midwifery Registered";"Staff Nurse";"2025-09-28";"Dementia Awareness";"2025-06-03";"Yes";"2025-06-05"
76426;"Nursing and Midwifery Registered";"Staff Nurse";"2025-12-11";"Dementia Awareness";"2025-12-10";"Yes";"2025-12-10"
47581;"Additional Clinical Services";"Health Care Support Worker";"2026-03-09";"Dementia Awareness";"2026-02-10";"Yes";"2026-02-10"
33525;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-30";"Dementia Awareness";"2025-12-01";"Yes";"2025-12-01"
67000;"Additional Clinical Services";"Assistant";"2026-04-07";"Dementia Awareness";"2025-07-07";"Yes";"2025-07-14"
5909;"Additional Clinical Services";"Technician";"2026-03-31";"Dementia Awareness";"2025-12-10";"Yes";"2025-12-10"
33655;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-07";"Dementia Awareness";"2025-10-25";"No";""
89064;"Nursing and Midwifery Registered";"Sister or Charge Nurse";"2026-02-17";"Dementia Awareness";"2025-10-15";"Yes";"2025-10-15"
61032;"Additional Clinical Services";"Health Care Support Worker";"2026-03-15";"Dementia Awareness";"2025-12-03";"Yes";"2025-12-04"
65493;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-25";"Dementia Awareness";"2025-10-06";"Yes";"2025-10-06"
33749;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-29";"Dementia Awareness";"2025-09-30";"Yes";"2025-09-30"
22472;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-06";"Dementia Awareness";"2025-11-07";"Yes";"2025-11-07"
84007;"Estates and Ancillary";"Housekeeper";"2026-02-17";"Dementia Awareness";"2025-11-03";"Yes";"2025-11-03"
