"ID_Number";"Staff_Group";"Role";"Last_access";"Course_Title";"Enrolment_Date";"Completed";"Completion_Date"
81450;"Additional Clinical Services";"Healthcare Assistant";"2026-03-16";"Diabetes Awareness for Health Care Assistants";"2024-02-07";"No";""
95333;"Additional Clinical Services";"Health Care Support Worker";"2026-04-15";"Diabetes Awareness for Health Care Assistants";"2026-03-29";"Yes";"2026-03-30"
91052;"Additional Clinical Services";"Healthcare Assistant";"2026-03-22";"Diabetes Awareness for Health Care Assistants";"2024-12-16";"No";""
78287;"Additional Clinical Services";"Student Nursing Associate";"2026-03-25";"Diabetes Awareness for Health Care Assistants";"2024-02-06";"No";""
79119;"Allied Health Professionals";"Physiotherapist";"2026-03-24";"Diabetes Awareness for Health Care Assistants";"2024-04-02";"No";""
31921;"Additional Clinical Services";"Assistant";"2026-04-13";"Diabetes Awareness for Health Care Assistants";"2025-03-06";"No";""
70875;"Additional Clinical Services";"Nursing Associate";"2026-02-20";"Diabetes Awareness for Health Care Assistants";"2024-03-13";"No";""
96001;"Additional Clinical Services";"Health Care Support Worker";"2026-04-03";"Diabetes Awareness for Health Care Assistants";"2026-02-18";"Yes";"2026-03-15"
95336;"Additional Clinical Services";"Healthcare Assistant";"2026-04-14";"Diabetes Awareness for Health Care Assistants";"2026-01-21";"Yes";"2026-02-13"
95544;"Additional Clinical Services";"Health Care Support Worker";"2026-04-05";"Diabetes Awareness for Health Care Assistants";"2026-01-08";"No";""
83803;"Additional Clinical Services";"Healthcare Assistant";"2026-04-14";"Diabetes Awareness for Health Care Assistants";"2024-02-24";"No";""
77721;"Additional Clinical Services";"Health Care Support Worker";"2026-04-14";"Diabetes Awareness for Health Care Assistants";"2025-11-19";"No";""
71763;"Additional Clinical Services";"Health Care Support Worker";"2026-03-19";"Diabetes Awareness for Health Care Assistants";"2026-03-19";"No";""
87998;"Additional Clinical Services";"Healthcare Assistant";"2025-05-17";"Diabetes Awareness for Health Care Assistants";"2024-09-09";"No";""
91160;"Additional Clinical Services";"Healthcare Assistant";"2026-04-12";"Diabetes Awareness for Health Care Assistants";"2025-01-27";"Yes";"2025-05-30"
