id_number,Staff_Group,Role,Last_access,Course_Title,Enrolment_Date,Completed,Completion_Date
89141,Nursing and Midwifery Registered,Staff Nurse,18/03/2026,Blood Borne Viruses in Renal Patients - Renal Staff,29/12/2025,No,
90308,Nursing and Midwifery Registered,Staff Nurse,16/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,08/12/2025,Yes,08/12/2025
137,Nursing and Midwifery Registered,Sister or Charge Nurse,01/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,20/04/2026,Yes,27/04/2026
78861,Medical and Dental,Specialty Registrar,28/02/2026,Blood Borne Viruses in Renal Patients - Renal Staff,27/02/2026,No,
96128,Medical and Dental,Specialty Registrar,18/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,05/02/2026,Yes,21/04/2026
32151,Nursing and Midwifery Registered,Staff Nurse,17/10/2025,Blood Borne Viruses in Renal Patients - Renal Staff,06/10/2025,Yes,06/10/2025
81550,Nursing and Midwifery Registered,Staff Nurse,12/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,01/04/2026,Yes,08/04/2026
46932,Additional Clinical Services,Health Care Support Worker,19/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,22/04/2026,Yes,22/04/2026
16471,Medical and Dental,Consultant,02/02/2026,Blood Borne Viruses in Renal Patients - Renal Staff,10/09/2025,Yes,10/09/2025
87857,Additional Clinical Services,Healthcare Assistant,12/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,25/09/2025,Yes,26/09/2025
92687,Healthcare Scientists,Healthcare Science Practitioner,27/04/2026,Blood Borne Viruses in Renal Patients - Renal Staff,15/08/2025,No,
12471,Additional Clinical Services,Healthcare Assistant,15/04/2026,Blood Borne Viruses in Renal Patients - Renal Staff,09/07/2025,Yes,05/10/2025
47107,Additional Clinical Services,Health Care Support Worker,22/04/2026,Blood Borne Viruses in Renal Patients - Renal Staff,24/06/2025,Yes,21/07/2025
254,Nursing and Midwifery Registered,Staff Nurse,24/03/2026,Blood Borne Viruses in Renal Patients - Renal Staff,16/07/2025,No,
47132,Nursing and Midwifery Registered,Staff Nurse,28/04/2026,Blood Borne Viruses in Renal Patients - Renal Staff,15/02/2026,Yes,15/02/2026
3256,Nursing and Midwifery Registered,Sister or Charge Nurse,02/04/2026,Blood Borne Viruses in Renal Patients - Renal Staff,29/12/2025,Yes,31/12/2025
24688,Nursing and Midwifery Registered,Staff Nurse,07/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,30/09/2025,Yes,01/10/2025
318,Nursing and Midwifery Registered,Staff Nurse,12/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,27/01/2026,Yes,30/01/2026
30424,Nursing and Midwifery Registered,Staff Nurse,10/03/2026,Blood Borne Viruses in Renal Patients - Renal Staff,02/10/2025,Yes,10/11/2025
3781,Nursing and Midwifery Registered,Staff Nurse,13/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,04/05/2026,No,
76995,Healthcare Scientists,Specialist Healthcare Science Practitioner,20/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,30/04/2026,No,
72305,Nursing and Midwifery Registered,Staff Nurse,18/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,06/10/2025,Yes,07/10/2025
366,Nursing and Midwifery Registered,Staff Nurse,30/09/2025,Blood Borne Viruses in Renal Patients - Renal Staff,12/09/2025,No,
54503,Medical and Dental,Consultant,20/02/2026,Blood Borne Viruses in Renal Patients - Renal Staff,17/12/2025,Yes,20/02/2026
33239,Nursing and Midwifery Registered,Staff Nurse,20/03/2026,Blood Borne Viruses in Renal Patients - Renal Staff,18/08/2025,Yes,06/10/2025
377,Nursing and Midwifery Registered,Sister or Charge Nurse,21/04/2026,Blood Borne Viruses in Renal Patients - Renal Staff,07/02/2026,Yes,07/02/2026
93576,Medical and Dental,Foundation Year 1,09/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,20/11/2025,Yes,20/11/2025
61532,Medical and Dental,Consultant,17/07/2025,Blood Borne Viruses in Renal Patients - Renal Staff,09/07/2025,Yes,09/07/2025
404,Nursing and Midwifery Registered,Staff Nurse,25/04/2026,Blood Borne Viruses in Renal Patients - Renal Staff,24/06/2025,Yes,24/06/2025
16115,Nursing and Midwifery Registered,Staff Nurse,24/04/2026,Blood Borne Viruses in Renal Patients - Renal Staff,21/10/2025,Yes,21/10/2025
422,Nursing and Midwifery Registered,Staff Nurse,14/02/2026,Blood Borne Viruses in Renal Patients - Renal Staff,21/06/2025,Yes,22/06/2025
65293,Additional Clinical Services,Healthcare Assistant,06/03/2026,Blood Borne Viruses in Renal Patients - Renal Staff,22/08/2025,Yes,15/09/2025
26577,Nursing and Midwifery Registered,Staff Nurse,14/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,28/07/2025,Yes,30/07/2025
47674,Medical and Dental,Specialist Registrar,18/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,17/04/2026,Yes,17/04/2026
59173,Nursing and Midwifery Registered,Staff Nurse,03/04/2026,Blood Borne Viruses in Renal Patients - Renal Staff,15/01/2026,No,
70569,Nursing and Midwifery Registered,Staff Nurse,15/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,14/06/2025,No,
33718,Medical and Dental,Consultant,17/03/2026,Blood Borne Viruses in Renal Patients - Renal Staff,25/02/2026,Yes,25/02/2026
68753,Medical and Dental,Specialty Registrar,14/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,24/04/2026,Yes,24/04/2026
561,Nursing and Midwifery Registered,Staff Nurse,13/05/2026,Blood Borne Viruses in Renal Patients - Renal Staff,17/06/2025,No,
562,Nursing and Midwifery Registered,Staff Nurse,31/03/2026,Blood Borne Viruses in Renal Patients - Renal Staff,16/06/2025,Yes,24/06/2025
