Purchase Date,Category,Sales Amount,STOCK Quantity,Profit,REGION
5/26/2023,Home Goods,955.6659044,13,214.7756388,South
5/26/2023,Sports,1186.662143,11,378.7219275,South
5/26/2023,Books,658.3500647,1,223.0965207,East
5/27/2023,Electronics,533.8723702,8,157.7549761,South
5/27/2023,Clothing,1245.366897,3,242.4582435,West
01/01/2023,Electronics,1149.014246,11,383.6642446,North
01/01/2023,Clothing,958.5207096,7,224.054049,East
01/01/2023,Home Goods,1473.763845,2,466.5930904,South
01/01/2023,Sports,1230.230419,6,123.3104603,West
01/01/2023,NaN?,828.5859503,12,88.59135544,East
01/02/2023,Electronics,722.7751487,10,82.39614937,West
01/02/2023,Clothing,788.9968595,15,225.2710717,West
01/02/2023,Home Goods,358.1138032,3,128.1983392,East
01/02/2023,Sports,819.923845,2,250.2980767,East
01/02/2023,Books,1284.231946,7,363.4363532,West
01/03/2023,,1246.763474,2,283.6969918,South
01/03/2023,Clothing,633.746905,10,171.3081882,North
01/03/2023,Home Goods,1221.539974,8,331.2000327,West
01/03/2023,Sports,0,NaN,371.5265713,NaN
01/03/2023,Books,1232.110125,13,175.3012618,East
01/04/2023,,839,13,102.6102506,East
01/04/2023,Clothing,437.2969683,8,44.45413836,East
01/04/2023,Home Goods,589.9653583,19,184.1029397,East
01/04/2023,,1142.812776,10,237.1790419,North
01/04/2023,Books,1391.098381,7,493.8560247,West
01/05/2023,Electronics,856,5,273.0418628,West
01/05/2023,Clothing,944.302307,3,228.2043237,North
01/05/2023,Home Goods,719.8711477,14,178.6278756,North
01/05/2023,Sports,1235.262456,15,281.9638562,South
01/05/2023,Books,585.7848927,7,142.1178978,North
01/06/2023,Electronics,916,4,340.9092196,East
01/06/2023,Clothing,1261.811529,4,483.0922047,East
01/06/2023,Home Goods,1686.167795,19,250.1706222,NaN
01/06/2023,Sports,559.9096344,6,132.6763948,West
01/06/2023,Books,1267.788841,12,285.1928834,South
01/07/2023,Electronics,1411.55864,7,525.1683205,North
01/07/2023,Clothing,1052.665988,13,377.0851418,East
01/07/2023,Home Goods,1038.103672,5,319.4564837,South
01/07/2023,Sports,625,NaN,108.3024459,East
01/07/2023,Books,1064.481649,9,235.4110229,South
01/08/2023,Electronics,393.30552,17,69.29045218,West
01/08/2023,Clothing,994.4347586,17,143.622313,West
01/08/2023,Home Goods,497.9486134,17,89.64783218,South
01/08/2023,Sports,802.2453093,5,163.274068,North
01/08/2023,Books,1001.181191,19,304.5709676,North
01/09/2023,Electronics,1101.946289,0,136.9234358,West
01/09/2023,Clothing,997.785955,17,317.759809,West
01/09/2023,Null,1106.847949,11,381.7845783,West
01/09/2023,Sports,993.4357377,NaN,144.2620321,East
01/09/2023,Books,1511.981486,19,473.7716267,East
01/10/2023,Electronics,NaN,19,258.2206611,East
01/10/2023,Clothing,1160.90081,7,442.3252617,North
01/10/2023,Home Goods,725.5927206,11,146.8018505,North
01/10/2023,Sports,1061.69504,NaN,188.3261081,West
01/10/2023,Books,566.9549945,16,195.6939619,North
01/11/2023,Electronics,486.8411264,1,62.28198955,West
01/11/2023,Clothing,1035.693548,5,383.3365063,East
01/11/2023,Home Goods,819.5808263,19,260.4518892,East
01/11/2023,Sports,746.0156929,1,218.2912743,East
01/11/2023,Books,1256.199336,16,163.860479,East
01/12/2023,Electronics,1536.578157,18,227.7860575,South
01/12/2023,Clothing,136.162932,9,20.80264266,West
01/12/2023,Home Goods,759.0467005,1,188.3711885,West
01/12/2023,Sports,1230.993208,7,389.3409658,West
01/12/2023,Books,0,1,362.7474658,East
1/13/2023,Electronics,589,14,163.1408925,South
1/13/2023,Clothing,768.4657752,13,189.0599833,West
1/13/2023,Home Goods,1362.814591,1,372.1453686,West
1/13/2023,Sports,1161.388001,1,184.1646591,North
1/13/2023,Books,1835.181414,17,207.5243908,West
1/14/2023,Electronics,990.6439605,14,370.9558609,East
1/14/2023,Clothing,1181.838809,3,465.7620543,West
1/14/2023,Home Goods,416.7311219,1,81.29449101,West
1/14/2023,Sports,597.5789506,3,161.9548618,West
1/14/2023,Books,513,18,146.0894774,South
1/15/2023,Electronics,608.2907338,10,220.9384463,North
1/15/2023,Clothing,774.7714471,8,239.485513,East
1/15/2023,Home Goods,1135,10,389.064235,East
1/15/2023,Sports,1533.677303,NaN,552.3104709,North
1/15/2023,Books,645.0203136,8,200.3368999,West
1/16/2023,Electronics,1148.498696,14,421.500862,East
1/16/2023,Clothing,1020.505375,19,244.5941216,East
1/16/2023,Home Goods,877.1773508,17,97.54603066,South
1/16/2023,Sports,1106.325876,5,283.9639571,North
1/16/2023,Books,435.9062235,12,169.8184064,East
1/17/2023,Electronics,1716.710787,8,545.6177263,Nan
1/17/2023,Clothing,1553,18,395.8504821,South
1/17/2023,Home Goods,967.8416575,19,224.240614,East
1/17/2023,Sports,854.1348143,5,132.647224,South
1/17/2023,Books,1151.496184,1,175.0139428,North
1/18/2023,Electronics,1259.726558,15,220.5439433,South
1/18/2023,Clothing,1055.156654,7,313.5222827,North
1/18/2023,Home Goods,1173.369141,3,204.5408835,
1/18/2023,Sports,795.9986998,15,89.32589208,South
1/18/2023,Books,920.9782465,5,223.1089592,South
1/19/2023,,1209.727715,4,183.8309021,South
1/19/2023,Clothing,1179.96899,5,259.0638677,South
1/19/2023,Home Goods,1000.544083,5,305.3551791,West
1/19/2023,Sports,1226.780585,16,359.1103077,North
1/19/2023,Books,1103.220439,12,238.7931429,West
1/20/2023,Electronics,1277.869763,1,303.46323,East
1/20/2023,Clothing,1133.886804,1,440.3530695,South
1/20/2023,Home Goods,1340.872695,11,212.8465655,North
1/20/2023,Sports,836.4887154,19,238.7975908,East
1/20/2023,Books,619.7853095,17,183.9007079,North
1/21/2023,Nan,823.1905729,4,253.4333007,South
1/21/2023,Clothing,1254.880629,13,478.1025495,West
1/21/2023,Home Goods,0,4,190.5987762,North
1/21/2023,Sports,1188.888653,3,472.1689624,West
1/21/2023,Books,890,5,152.6489404,East
1/22/2023,Electronics,835.6829551,13,269.0670373,East
1/22/2023,Clothing,1391.643642,13,513.0391264,North
1/22/2023,Home Goods,1006.301152,4,103.9018976,North
